"nmadb_id","id","id_old","id_mod","is.star","cor_ability_pscore","cor_ability_pbv","cor_ability_PReTA","cor_ability_pswd","cor_prbs_pscore","cor_prbs_pbv","cor_prbs_PReTA","cor_prbs_pswd","cor_pscore_pbv","cor_pscore_PReTA","cor_pscore_pswd","cor_pbv_PReTA","cor_pbv_pswd","cor_PReTA_pswd","tau","avg_var","range","nS_nT"
482109,74,77,74,FALSE,0.984164340332108,0.752292331736807,0.944822126877638,0.988591280860516,0.758995072640574,0.996575586795686,0.628324477339258,0.816980555566955,0.706453699612105,0.972121150052747,0.98965453108208,0.563604563538044,0.767864295099243,0.960673686558855,0.111957591385918,0.027202613540252,0.864278571757272,5453.83333333333
482120,75,78,75,TRUE,0.936318543789008,0.280539213130258,0.942715597490374,0.869590598511082,0.675907260242766,-0.00825859723562142,0.723144037167127,0.602381553724695,0.581679842565923,0.989201092980392,0.981267552477649,0.575550989016097,0.715389458222036,0.980179515734907,0,0.342790754534839,0.988823592520347,5680.88888888889
482156,76,79,76,FALSE,0.930985268353939,0.790193421417671,0.890475355477189,0.842814977398592,0.645773767479789,0.918537044963071,0.65039714603685,0.871322960737162,0.755002634021957,0.977647761920337,0.850324040268057,0.792425256023222,0.984877306725625,0.88279418256137,0.161767799951878,0.0230217577261994,0.909769414904027,11438
482159,77,80,77,FALSE,0.961485517329467,0.640772995744299,0.903685744877706,0.968540609624529,0.930229833676703,0.942564517001928,0.878892292563582,0.924787939287703,0.767041949525728,0.966441306929693,0.996913850132621,0.670704492934341,0.770584205905952,0.944896738376,0.139833403412122,0.00963149277347396,0.731835380427234,1582.16666666667
482258,79,82,79,FALSE,0.942729695082103,0.657263576289108,0.848927630960561,0.854987620419413,0.981575418056002,0.764108455509331,0.962274297266156,0.951240929080306,0.86153578778569,0.950401430929236,0.976802048610624,0.827494920836794,0.916305104134926,0.97916241512271,0.0618695228744918,0.00537467131011224,0.760075201339753,4684.75
482362,80,83,80,FALSE,0.932019799662074,0.612037756993435,0.964219782845942,0.931494957256178,0.782041317900795,0.434986859552875,0.84173942359256,0.788878838769546,0.804529778033666,0.994600134284819,0.9977796556585,0.762209884540986,0.831395767799879,0.993043813697516,0.556123668155381,0.424431524537181,0.90806394868322,2707.6
482440,82,85,82,FALSE,0.949624080853383,0.607474176038339,0.96740762216523,0.921128116932645,0.958828198732489,0.940457924497832,0.882129387946592,0.974932152224977,0.806183240583633,0.9769550981744,0.987852998230734,0.672647199372822,0.859828262944626,0.943005256818614,0.217735178318441,0.0361583750931809,0.9013136899956,1084
482450,83,86,83,TRUE,0.991755355138376,0.859580980274947,0.969094059167496,0.996464835161951,0.903248015571566,0.985691765504193,0.816055203782204,0.902880368143061,0.820490702814275,0.976419598034569,0.997028297412621,0.70695706578624,0.817754665116715,0.984349813284101,0.272642690940267,0.0414867939036261,0.635153496137255,6075.75
482465,84,87,84,FALSE,0.983067208803558,0.638863505942051,0.957760410580348,0.971220027350515,0.833455882650109,0.748462261746018,0.840518527373977,0.872050045655276,0.728553827456287,0.948310507054638,0.992070992999749,0.629186673734476,0.76930204771625,0.963544818265235,0.0459680001157916,0.105462121553443,0.982443399241211,471.1
482472,85,88,85,FALSE,0.983626190856653,0.866216858868374,0.98032924491139,0.974205868470449,0.983626190856653,0.866216858868374,0.98032924491139,0.974205868470449,0.934881777369754,0.99945064279465,0.998917772449712,0.933139639853384,0.948319913275096,0.998969623348369,0.227899952404443,0.169226436460047,0.718022819301439,525.5
